H09V07;-91,10,-85,20
H10V07;-81,10,-75,20
H11V07;-71,10,-64,20
H12V07;-60,10,-53,20
H13V07;-50,10,-43,20
H14V07;-40,10,-32,20
H09V08;-90,0,-81,10
H10V08;-80,0,-71,10
H11V08;-70,0,-61,10
H12V08;-60,0,-51,10
H13V08;-50,0,-41,10
H14V08;-40,0,-31,10
H09V09;-91,-10,-80,-1
H10V09;-81,-10,-70,-1
H11V09;-71,-10,-60,-1
H12V09;-60,-10,-50,-1
H13V09;-50,-10,-40,-1
H14V09;-40,-10,-30,0
H09V10;-95,-20,-81,-10
H10V10;-85,-20,-71,-10
H11V10;-74,-20,-61,-10
H12V10;-63,-20,-51,-10
H13V10;-53,-20,-41,-10
H14V10;-42,-20,-31,-10
H09V11;-103,-30,-85,-20
H10V11;-92,-30,-75,-20
H11V11;-80,-30,-64,-20
H12V11;-69,-30,-53,-20
H13V11;-57,-30,-43,-20
H14V11;-46,-30,-32,-20
H09V12;-117,-40,-93,-30
H10V12;-104,-40,-81,-30
H11V12;-91,-40,-70,-30
H12V12;-78,-40,-58,-30
H13V12;-65,-40,-46,-30
H14V12;-52,-40,-35,-30
H09V13;-140,-49,-105,-40
H10V13;-124,-49,-92,-40
H11V13;-109,-49,-79,-40
H12V13;-93,-49,-66,-40
H13V13;-77,-50,-52,-40
H14V13;-62,-50,-39,-40
H09V14;171,-58,-125,-50
H10V14;-165,-59,-109,-50
H11V14;-143,-59,-93,-50
H12V14;-121,-59,-78,-50
H13V14;-100,-59,-62,-50
H14V14;-80,-59,-47,-50
